Description                                       Hotkey
------------------------------------------------  -------------------------
back                                              <hyper>+q
set chrome win for tabs                           <shift>+<super>+w
set remembered win 1                              <ctrl>+<shift>+<super>+3
omnibox                                           <hyper>+d
restore chrome tab                                <shift>+<super>+q
open remembered win 1                             <super>+3
open remembered win 2                             <super>+3
set remembered win 2                              <shift>+<super>+3
new tab, new win, new tab search, new win search  <super>+w
display hotkeys                                   <ctrl>+<shift>+<super>+h
quick note                                        <alt>+'
show notes                                        <alt>+<shift>+'
open Todoist                                      <alt>+l
open youtube music                                <alt>+;
open Roam                                         <alt>+;
open Keep                                         <alt>+k
open Focus                                        <alt>+i
down workspace                                    <super>+k
control z                                         <super>+a
test2                                             <hyper>+5
delete previous word                              <hyper>+<backspace>
control g                                         <hyper>+g
control enter                                     <hyper>+<enter>
find                                              <hyper>+f
delete line                                       <super>+<backspace>
shift control z                                   <shift>+<super>+z
paste                                             <hyper>+e
control z                                         <super>+z
shift control z                                   <shift>+<super>+a
save                                              <super>+s
control g shift                                   <hyper>+<shift>+g
copy                                              <hyper>+w
wrap content                                      <hyper>+9
reverse backspace                                 <shift>+<backspace>
cut                                               <hyper>+r
up workspace                                      <super>+l
new tab/new window                                <hyper>+<super>+w
Tab Switch Right                                  <super>+;
Tab Switch Left                                   <alt>+[
Tab Switch Right                                  <alt>+]
Tab Switch Left                                   <super>+j
close tab/close win                               <super>+q
quick up                                          <hyper>+<super>+l
word left                                         <hyper>+<super>+j
word left highlighting                            <hyper>+<shift>+<super>+j
highlight word right                              <hyper>+,
word right highlighting                           <hyper>+<shift>+<super>+;
up                                                <hyper>+l
shift down                                        <hyper>+<shift>+k
shift right                                       <hyper>+<shift>+;
highlight quick down                              <hyper>+<shift>+<super>+k
quick left                                        <hyper>+<left>
quick right                                       <hyper>+<right>
quick down                                        <hyper>+<super>+k
quick left                                        <alt>+<hyper>+j
shift up                                          <hyper>+<shift>+l
quick down                                        <hyper>+<down>
quick up                                          <hyper>+<up>
quick right                                       <alt>+<hyper>+;
jump to end of line highlighting                  <hyper>+<super>+s
left                                              <hyper>+j
shift left                                        <hyper>+<shift>+j
jump to beginning of line                         <hyper>+a
highlight word left                               <hyper>+.
highlight quick up                                <hyper>+<shift>+<super>+l
right                                             <hyper>+;
jump to end of line                               <hyper>+s
down                                              <hyper>+k
word right                                        <hyper>+<super>+;
jump to beginning of line highlighting            <hyper>+<super>+a
plus                                              h
plus                                              <alt>+=
parantheses                                       j
equals                                            k
minus                                             <alt>+-
left paran                                        <alt>+9
uppercase j                                       <shift>+j
right paran                                       <alt>+0
colon                                             ;
uppercase k                                       <shift>+k
uppercase i                                       <shift>+i
uppercase ;                                       <shift>+;
uppercase h                                       <shift>+h
curly braces                                      i
underscore                                        u
set_language_context                              <ctrl>+<super>+1
open Jupyter notebook                             <hyper>+<shift>+n
pause music                                       <super>+p
copy URL                                          <super>+u
open VScode                                       <super>+v
Display window info                               <ctrl>+<shift>+<super>+i
mouse click                                       <super>+
open Colab notebook                               <hyper>+n
